performance,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,duration,lifetime_gross,nrOfNewsArticles,nrOfNominations,nrOfPhotos,nrOfUserReviews,nrOfWins,ratingCount,ratingInteger,title,year
Success,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6780,28262574,1830,9,80,768,26,351181,8,TAXI DRIVER,1976
Success,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5580,38251425,37,7,41,408,26,138617,8,ANNIE HALL,1977
Success,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7260,460998007,23660,26,190,1325,35,631839,9,STAR WARS,1977
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10920,48979328,488,17,39,949,21,174642,8,THE DEER HUNTER,1978
Success,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7020,80931801,5671,18,126,991,12,391737,9,ALIEN,1979
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9180,83471511,1356,30,76,896,17,333178,9,APOCALYPSE NOW,1979
Success,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7440,26010864,242,13,36,325,10,120156,8,THE ELEPHANT MAN,1980
Success,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7740,23383987,1478,19,51,454,26,172854,8,RAGING BULL,1980
Success,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8640,44360123,1528,5,16,1208,2,418163,9,THE SHINING,1980
Success,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6900,248159971,2004,22,69,691,25,473742,9,RAIDERS OF THE LOST ARK,1981
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7020,32868943,4395,15,104,1072,10,350268,8,BLADE RUNNER,1982
Success,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11460,52767889,304,16,108,222,30,121887,8,GANDHI,1982
Success,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,6540,19629760,1702,0,40,849,0,188733,8,THE THING,1982
Success,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5640,20605209,621,11,27,431,3,85811,8,A CHRISTMAS STORY,1983
